"Carimbo de data/hora","Qual é o seu Curso?","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","Selecione para qual disciplina você vai responder o questionário ","1)      Organizei meus estudos com base no plano de ensino (programação) da(o) disciplina/tema/módulo ","2)      Mantive um relacionamento cordial com o(a) professor (a) coordenador (a) da disciplina ","3)      Mantive um relacionamento cordial com o (a) tutor (a) presencial ","4)      Mantive um relacionamento cordial com o (a) tutor (a) a distância","5)      Mantive um relacionamento cordial com o (a) coordenador (a) do polo","6)      Frequentei as atividades presenciais conforme programado","7)      Participei das atividades a distância conforme programado","8)      Compreendi os conteúdos ministrados na(o) disciplina/tema/módulo ","9)      Estive motivado/a ao longo da oferta da(o) disciplina/tema/módulo","10)      Aprofundei meus conhecimentos, de maneira autônoma, consultando outras fontes","11)      Realizei as atividades da disciplina/tema/módulo, atendendo aos prazos estabelecidos ","12)      Realizei as atividades da disciplina/tema/módulo observando os critérios estabelecidos ","13)      Dediquei horas de estudo à disciplina ao longo da semana ","14) O(A) professor(a)/coordenador(a) da(o) disciplina/tema/módulo mostrou-se disponível para me atender e orientar ","15)      O(A) professor(a)/coordenador(a) da(o) disciplina/tema/módulo me tratou com ética e respeito","16)      O(A) tutor(a) presencial mostrou-se disponível para me atender e orientar ","17)      O(A) tutor(a) presencial me tratou com ética e respeito ","18)      O(A) tutor(a) a distância mostrou-se disponível para me atender e orientar","19)      O(A) tutor(a) a distância me tratou com ética e respeito","20)      Tive acesso ao plano de ensino (programação) da(o) disciplina/tema/módulo ","21)      O plano de ensino (programação) da(o) disciplina/tema/módulo foi cumprido","22)      As atividades de tutoria realizadas contemplaram as necessidades da turma","23)      As atividades de tutoria foram executadas conforme o planejado","24)      Os conteúdos da(o) disciplina/tema/módulo foram ministrados com clareza e objetividade","25)      Os conceitos/conteúdos foram apresentados de forma contextualizada","26)      Fui estimulado a desenvolver o pensamento crítico","27)      Foram utilizados recursos diversos (vídeos, materiais complementares, webconferências, etc.) durante a oferta da(o) disciplina/tema/módulo","28) Esta disciplina contribuiu com minha formação cidadã e profissional ","29)      A interação com professores e colegas foi favorecida/estimulada","30)      O material didático fornecido para estudo da(o) disciplina/tema/módulo foi adequado","31)      O processo avaliativo da(o) disciplina/tema/módulo foi explicado aos discentes de forma clara e objetiva","32)      A avaliação da aprendizagem foi realizada com critérios bem definidos","33)      A avaliação da aprendizagem foi realizada de acordo com os conteúdos trabalhados","34)      Foram utilizados diferentes instrumentos/estratégias de avaliação (provas, seminários, produção textual, etc.)","35)      Os(As) instrumentos/estratégias de avaliação foram adequados(as), acessíveis aos discentes e os prazos/tempo foram suficientes","36)      As salas reservadas às atividades presenciais e seu mobiliário estavam em condições adequadas de uso","37)      A infraestrutura das bibliotecas atendeu adequadamente às necessidades discentes (sala de estudos, acervo, atendimento, etc.)","38)      Os recursos audiovisuais atenderam às necessidades do ensino no âmbito da(o) disciplina/tema/módulo","39)      O ambiente virtual de aprendizagem utilizado (Moodle/SIGAA) atendeu às necessidades dos discentes","40)      Os recursos de informática dos laboratórios, nos polos, atenderam às necessidades discentes","41)      O laboratório de atividades práticas estava adequado às atividades desenvolvidas","42)      As instalações físicas do polo (banheiros, espaços de convivência, espaço para alimentação, etc.) atendem às necessidades dos discentes","43) A acessibilidade nos espaços utilizados, incluindo o ambiente virtual, é adequada","Comentários Gerais (máximo 600 caracteres)","Sugestões de Melhoria (Máximo 600 caracteres)"
"2023/10/30 3:47:16 PM GMT-3","CIÊNCIAS BIOLÓGICAS","MORFOFISIOLOGIA VEGETAL","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","",""
"2023/10/30 3:52:35 PM GMT-3","CIÊNCIAS BIOLÓGICAS","ANIMAIS PROTOSTÔMIOS ECDISOZOÁRIOS","","","","","","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"2023/10/30 3:54:05 PM GMT-3","CIÊNCIAS BIOLÓGICAS","METODOLOGIA DO ENSINO DE CIÊNCIAS","","","","","","1","1","1","1","1","1","1","1","1","1","1","3","3","2","1","1","1","1","3","1","1","1","1","1","1","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","",""
"2023/10/30 3:55:41 PM GMT-3","CIÊNCIAS BIOLÓGICAS","SOCIEDADE E MEIO AMBIENTE","","","","","","1","1","1","1","1","1","2","2","2","2","2","3","4","1","1","1","1","1","1","2","1","1","2","1","2","2","1","1","2","3","2","1","1","2","1","1","1","1","1","1","1","1","1","",""
"2023/10/31 6:25:39 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","4","3","3","3","1","4","2","3","1","4","3","2","3","4","4","4","3","4","4","4","3","3","4","3","4","4","4","3","1","3","2","4","3","4","2","3","3","4","2","1","3","3","",""
"2023/11/01 9:06:29 AM GMT-3","LETRAS LINGUA PORTUGUESA","","","ENSINO/APRENDIZAGEM DO PORTUGUES I","","","","3","2","4","2","3","3","4","4","3","4","4","2","3","3","3","5","4","2","2","4","1","3","3","4","4","4","3","3","2","4","4","2","2","4","3","4","4","2","3","4","3","4","3","",""
"2023/11/01 4:39:32 PM GMT-3","CIÊNCIAS BIOLÓGICAS","ANIMAIS PROTOSTÔMIOS ECDISOZOÁRIOS","","","","","","2","3","3","5","3","4","4","4","3","2","2","4","4","4","1","2","3","5","5","4","2","3","3","3","3","2","3","4","4","4","3","4","1","3","1","2","2","3","4","2","3","2","3","",""
"2023/11/01 4:42:00 PM GMT-3","CIÊNCIAS BIOLÓGICAS","ANIMAIS PROTOSTÔMIOS ECDISOZOÁRIOS","","","","","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/01 4:44:59 PM GMT-3","BIBLIOTECONOMIA","","","","","PLANEJAMENTO DE AMBIENTES DE INFORMACAO","","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/04 2:17:24 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","3","4","5","4","4","3","4","3","4","3","3","3","4","4","4","5","5","4","4","4","4","4","3","3","4","3","3","4","4","4","3","4","4","4","4","4","4","4","4","4","5","4","4","",""
"2023/11/04 4:07:02 PM GMT-3","MATEMÁTICA","","","","FUNDAMENTOS DA EDUCAÇAO IV","","","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","",""
